tracking_id	gene_id	gene_short_name	0_10_FPKM	0_12_FPKM	0_FPKM	10_25_FPKM	12_FPKM	21_25_FPKM	25_FPKM	3_FPKM	6_FPKM
YIR020C-B	YIR020C-B	YIR020C-B	0	0.0980244	0	0	0	0	0	0.222364	0
YIR020W-A	YIR020W-A	YIR020W-A	15.1072	18.3878	16.8258	8.94413	19.0771	21.0037	29.5315	28.5398	18.5606
YIR021W	YIR021W	MRS1	39.3994	43.3762	44.1611	48.0784	43.0988	47.9177	46.4365	44.4782	47.4966
YIR021W-A	YIR021W-A	YIR021W-A	15.0857	14.9353	12.1177	20.7046	7.36022	13.8917	3.50574	18.6341	12.5317
YIR022W	YIR022W	SEC11	238.814	235.613	240.311	244.73	217.004	224.493	225.822	234.375	220.03
YIR023C-A	YIR023C-A	YIR023C-A	94.8746	98.4882	78.571	112.456	102.677	89.5718	101.219	100.726	93.6533
YIR023W	YIR023W	DAL81	24.6657	24.2356	21.3181	19.1341	21.7408	22.0221	22.2352	23.0794	23.7226
YIR024C	YIR024C	YIR024C	31.6497	25.7343	40.7599	28.7875	31.9059	26.4753	30.3395	40.0187	36.5693
YIR025W	YIR025W	MND2	15.5086	14.7566	20.2439	14.9164	15.7373	13.9995	16.8454	16.6719	17.7572
YIR026C	YIR026C	YVH1	210.495	209.491	158.986	222.238	169.281	212.398	171.202	158.297	173.381
YIR027C	YIR027C	DAL1	5.47284	2.69309	6.95931	3.21316	4.00327	3.65015	5.18151	5.10766	5.50364
YIR028W	YIR028W	DAL4	6.64773	4.06273	6.93952	3.95235	5.87094	4.54599	5.055	4.43483	4.54029
YIR029W	YIR029W	DAL2	15.3547	12.1328	13.7712	13.871	14.8703	16.437	13.2804	13.5474	14.6184
YIR030C	YIR030C	DCG1	11.7014	10.1945	13.9748	18.2319	19.6127	16.5128	17.602	14.8984	19.0347
YIR030W-A	YIR030W-A	YIR030W-A	9.81411	12.7099	7.3658	11.0122	4.27059	7.16475	6.78042	8.51853	3.46247
YIR031C	YIR031C	DAL7	32.1586	21.9465	26.0981	24.7361	21.9468	22.4602	20.2379	22.7911	19.8152
YIR032C	YIR032C	DAL3	10.4552	10.1661	11.3118	7.67293	8.14947	9.52581	5.72706	7.99461	6.33657
YIR033W	YIR033W	MGA2	61.7029	50.3435	44.5277	60.3241	55.3904	59.1944	54.6076	52.3599	56.3482
YIR034C	YIR034C	LYS1	139.848	119.639	61.9739	67.7302	51.7497	82.4487	52.5718	58.5881	51.8574
YIR035C	YIR035C	YIR035C	243.749	239.286	111.842	191.541	97.1174	186.599	101.815	89.6617	98.2026
YIR036C	YIR036C	IRC24	41.4133	52.7238	58.2784	48.371	51.0405	49.2192	56.7258	53.616	53.437
YIR036W-A	YIR036W-A	YIR036W-A	23.7725	32.9537	30.7632	22.7686	27.4546	27.1583	38.8606	33.9788	34.772
YIR037W	YIR037W	HYR1	310.333	416.761	399.052	388.548	398.117	380.841	404.283	412.845	417.667
YIR038C	YIR038C	GTT1	42.93	81.5568	61.1731	69.973	69.7339	67.8589	67.3077	68.4648	70.7351
YIR039C	YIR039C	YPS6	2.98303	2.36263	6.76052	2.7294	4.94836	3.014	4.72257	4.43836	4.77899
YIR040C	YIR040C	YIR040C	0.36643	0	0.462529	0.461003	0	0	0	0	0.478331
YIR041W	YIR041W	PAU15	0	0.303871	0	0	0	0.628085	0	0	0
YIR042C	YIR042C	YIR042C	16.4974	21.2516	18.9201	26.211	26.1064	31.4059	20.2425	18.6312	21.5355
YIR043C	YIR043C	YIR043C	8.01477	6.06728	5.18173	7.37805	8.39296	7.81046	8.37008	6.03656	7.40019
